"MOY","SRAD_mean","SRAD_sum","SRAD_sd","TMAX_mean","TMAX_sum","TMAX_sd","TMIN_mean","TMIN_sum","TMIN_sd","TAVG_mean","TAVG_sum","TAVG_sd","VAPR_mean","VAPR_sum","VAPR_sd","TDEW_mean","TDEW_sum","TDEW_sd","RHMAX_mean","RHMAX_sum","RHMAX_sd","WNDSP_mean","WNDSP_sum","WNDSP_sd","RAIN_mean","RAIN_sum","RAIN_sd","ETREF_mean","ETREF_sum","ETREF_sd","YEAR_mean","YEAR_sum","YEAR_sd","MONTH_mean","MONTH_sum","MONTH_sd","DEKAD_mean","DEKAD_sum","DEKAD_sd"
"2018-01",14.1196261006452,437.70840912,2.04292244535139,24.2727096774194,752.454,2.62194785498044,9.57271612903227,296.7542,1.61452471728715,15.7000064516129,486.7002,1.66061646483778,1.32966568709952,41.2196363000853,0.133209695069241,19.880445793648,616.293819603087,2.48013451087898,76.1142309677419,2359.54116,9.14131115245997,2.71220541935484,84.078368,0.917923293019113,0,0,0,2.96387096774194,91.88,0.916328461558608,2018,62558,0,1,31,0,2.03225806451613,63,0.836017183545168
"2018-02",17.2693508914286,483.54182496,2.15061169171741,26.6576142857143,746.4132,2.61405438716328,12.9576178571429,362.8133,3.02284738457138,18.9999964285714,531.9999,2.43913215858096,1.5198814094879,42.5566794656612,0.3367836111076,25.0586166549151,701.641266337623,5.93077985240638,69.3395207142857,1941.50658,6.87039807404627,2.81313714285714,78.76784,0.764300812187032,0,0,0,3.79571428571429,106.28,0.603633618160507,2018,56504,0,2,56,0,1.92857142857143,54,0.813250060790444
"2018-03",20.8909832051613,647.62047936,2.34454832154114,32.7651548387097,1015.7198,2.32181121667815,17.7651451612903,550.7195,1.84778747169666,24.5999870967742,762.5996,1.92266829965406,1.76757351377345,54.7947789269771,0.172348064971368,33.4673893044413,1037.48906843768,2.97685463550379,58.7802338709677,1822.18725,6.87256626499868,2.75186319354839,85.307759,0.585279688706258,0,0,0,5.70903225806452,176.98,1.05354435071559,2018,62558,0,3,93,0,2.03225806451613,63,0.836017183545168
"2018-04",24.150367008,724.51101024,1.95077051231293,37.5751,1127.253,2.78685622583015,22.5750966666667,677.2529,1.98220751262121,29.5999866666667,887.9996,2.23359063481964,1.80469248569447,54.1407745708341,0.397919364655268,38.676140970546,1160.28422911638,4.04942771438483,45.74186,1372.2558,12.5858956270318,2.83944646666667,85.183394,0.879627823826949,0,0,0,7.75866666666667,232.76,1.65053958436029,2018,60540,0,4,120,0,2,60,0.8304547985374
"2018-05",26.3675946425806,817.39543392,1.70497257956631,40.1340580645161,1244.1558,3.08956721001224,25.9340483870968,803.9555,2.13422938861953,32.8000193548387,1016.8006,2.4491184037553,1.8833562364381,58.3840433295813,0.429884283122847,42.6615021943991,1322.50656802637,3.45922932186564,39.7340919354839,1231.75685,11.9807312726804,2.85318132258065,88.448621,0.763871775278477,0.708709656774194,21.96999936,3.94592837058085,8.78290322580645,272.27,1.43748204289859,2018,62558,0,5,155,0,2.03225806451613,63,0.836017183545168
"2018-06",23.076291744,692.28875232,4.17667758477682,38.9538666666667,1168.616,2.94455572450457,28.35386,850.6158,1.65804352353339,33.5000033333333,1005.0001,2.42048290287124,2.96073977810342,88.8221933431027,0.274293358379909,51.5900135519052,1547.70040655715,2.1284544198068,58.537394,1756.12182,11.9390054814962,2.8613962,85.841886,0.952705110262511,3.73366656,112.0099968,10.0464028200655,7.398,221.94,1.81128531235657,2018,60540,0,6,180,0,2,60,0.8304547985374
"2018-07",17.4459383349677,540.824088384,5.44139045167349,34.7667548387097,1077.7694,2.28850357480439,27.366764516129,848.3697,1.07899348547567,30.7,951.7,1.69973717223183,3.47996986811746,107.879065911641,0.157155035228698,51.5422001781541,1597.80820552278,2.05552358163289,79.0935090322581,2451.89878,7.59409653218795,2.16065709032258,66.9803698,0.668798028220767,7.3503219716129,227.85998112,12.4757739358754,4.68709677419355,145.3,1.5188969540391,2018,62558,0,7,217,0,2.03225806451613,63,0.836017183545168
"2018-08",15.6691035778065,485.742210912,4.13714666897289,34.0458870967742,1055.4225,1.69542925827885,26.9458935483871,835.3227,0.732646290254483,30.0999838709677,933.0995,1.0776860848122,3.52474819057759,109.267193907905,0.126778620165535,51.1323112362494,1585.10164832373,1.59121390146399,82.474895483871,2556.72176,4.22700577781155,1.863667,57.773677,0.477448409919369,2.94354844490323,91.250001792,5.98402259322959,4.0341935483871,125.06,1.04206453476916,2018,62558,0,8,248,0,2.03225806451613,63,0.836017183545168
"2018-09",15.4562226624,463.686679872,5.73495850078552,33.8378366666667,1015.1351,2.72784235368179,25.03784,751.1352,1.38731624955374,28.9999633333333,869.9989,1.53294503972455,3.30779997562715,99.2339992688144,0.242608606334308,48.782319274556,1463.46957823668,2.54760324301009,82.736012,2482.08036,6.67752307738503,2.19201683333333,65.760505,0.932166996747348,6.086332512,182.58997536,20.1862805777261,3.87066666666667,116.12,1.44345594233813,2018,60540,0,9,270,0,2,60,0.8304547985374
"2018-10",18.2060784,564.3884304,1.25241984969364,32.6626451612903,1012.542,1.39968214983229,20.4626612903226,634.3425,2.45787441443176,25.8000516129032,799.8016,1.94195706987753,2.32243117800494,71.9953665181531,0.396412003373241,39.1109775910566,1212.44030532276,4.77783438854843,70.680584516129,2191.09812,4.77402865151145,1.98939009677419,61.671093,0.440724600310848,0,0,0,4.30322580645161,133.4,0.421769187247988,2018,62558,0,10,310,0,2.03225806451613,63,0.836017183545168
"2018-11",14.718685248,441.56055744,1.34662815909022,28.4418866666667,853.2566,1.21281191813966,14.1418866666667,424.2566,1.92816386943701,20.4000066666667,612.0002,1.463786277252,1.63936669980335,49.1810009941005,0.234425673434864,27.8646715466793,835.940146400378,3.57763428008112,69.675597,2090.26791,5.71286048088608,2.4081697,72.245091,0.918892663716691,0.00066666664224,0.0199999992672,0.00201311917910438,3.434,103.02,0.670679531879987,2018,60540,0,11,330,0,2,60,0.8304547985374
"2018-12",13.703016096,411.09048288,0.942065502554943,23.2568366666667,697.7051,2.12593007013212,9.29225333333334,278.7676,2.13948789807817,15.1432,454.296,1.9945476121771,1.30785627927653,39.235688378296,0.178405277570823,19.0216481931414,570.649445794242,4.04261006121568,77.208069,2316.24207,3.05742530607649,2.2058265,66.174795,0.471616099990364,0,0,0,2.43766666666667,73.13,0.329656909772751,2018,60540,0,12,360,0,2,60,0.8304547985374
"NA-NA",14.02981344,14.02981344,NA,22.7025,22.7025,NA,7.64000000000004,7.64000000000004,NA,13.804,13.804,NA,1.16460373272274,1.16460373272274,NA,16.0393254640381,16.0393254640381,NA,75.97183,75.97183,NA,2.74091,2.74091,NA,0,0,NA,2.7,2.7,NA,NA,0,NA,NA,0,NA,3,3,NA
