"Planting_Date","Crop_Type","ETref_mean","ETref_sd","ETc_mean","ETc_sd","ETcadj_mean","ETcadj_sd","E_mean","E_sd","T_mean","T_sd","DP_mean","DP_sd","K_mean","K_sd","Rain_mean","Rain_sd","Runoff_mean","Runoff_sd","Irrig_mean","Irrig_sd","IrrLoss_mean","IrrLoss_sd","Gross_Irrig_mean","Gross_Irrig_sd","Num_Irrig_mean","Num_Irrig_sd","Mean_Irrig_mean","Mean_Irrig_sd","Veff_ini_mean","Veff_ini_sd","Veff_end_mean","Veff_end_sd","theta0_mean","theta0_sd","Source"
"05-21","Rice",684.75935483871,39.7573524508766,721.846548387097,41.9307234716492,717,41.1487497031603,372.278935483871,28.147441810267,344.720967741936,22.3941518727306,441.527870967742,150.815689016261,3.69961290322581,1.2530345746073,455.52835483871,165.03208181493,0,0,777.185935483871,82.2030289202434,0,0,1010.34167741935,106.863864978887,32.1935483870968,3.22923473740255,24.143,0.899214434937518,0,0,76.3011935483871,21.905930509673,0.281096774193548,0.0364530335625717,"dsr_current"
"09-18","Fallow",50.3975161290323,7.38272331357008,6.0988064516129,9.15954629669452,6.0988064516129,9.15954629669452,6.0988064516129,9.15954629669452,0,0,48.6273548387097,78.2733735777152,0.753354838709677,1.94033166492032,38.0207419354839,79.3017534349936,0,0,0,0,0,0,0,0,0,0,NA,NA,127.217774193548,36.4530335625717,110.512322580645,12.4175000500291,0.264387096774194,0.0123980574267499,"dsr_current"
"09-28","Wheat",427.447677419355,26.9700267573555,297.925129032258,21.2743301371112,297.921225806452,21.2724494808186,18.9175483870968,13.419658639073,279.003709677419,20.2110863392571,12.3666774193548,24.447215888368,0.00916129032258065,0.0460051423025684,42.1283870967742,43.9706639868579,0,0,224.207580645161,38.0024505199109,0,0,291.469806451613,49.4032808474763,3.09677419354839,0.538815906080325,72.4806451612903,1.22715987951549,22.1014193548387,2.47961148534999,30.7770322580645,25.8447390513477,0.179451612903226,0.0214815249453686,"dsr_current"
"07-01","Rice",552.738580645161,32.7483793500016,582.39164516129,36.1787764262865,579.183322580645,34.9860487255393,250.758064516129,20.0753536190283,328.425225806452,21.0849220387614,383.258516129032,153.877919134807,3.42093548387097,1.46587057035478,424.715774193548,191.647437310062,0,0,593.722580645161,80.0992173302479,0,0,771.839387096774,104.129097103444,18.9677419354839,2.93807046622713,31.4438064516129,1.71685832106894,0,0,56.4336129032258,10.5718098314256,0.247967741935484,0.0175774170855063,"dsr_best"
"10-29","Fallow",43.4502258064516,3.81326745901445,0.300193548387097,1.26359211296881,0.300193548387097,1.26359211296881,0.300193548387097,1.26359211296881,0,0,0.487387096774194,2.71365650832254,0.0180645161290323,0.0166732030193581,0.386548387096774,1.34544790159782,0,0,0,0,0,0,0,0,0,0,NA,NA,94.0887419354839,17.5774170855063,93.6922580645161,16.5684810467903,0.247548387096774,0.0165868194855181,"dsr_best"
"11-08","Wheat",396.500677419355,28.9301387672523,269.549935483871,25.29833501364,269.543709677419,25.2889329433431,11.0419677419355,5.28958814706697,258.501806451613,25.2985646897465,11.8688387096774,15.8342910126446,0.000419354838709677,0.000564162715794365,58.8287741935484,37.0881158995795,0,0,175.494483870968,49.1012581569087,0,0,228.142838709677,63.8314083765961,2.35483870967742,0.660726221505509,74.5669677419355,1.01708686891766,18.7336774193548,3.31736389710361,25.2531935483871,23.5827296630668,0.174967741935484,0.0196222388647299,"dsr_best"
"06-11","Rice",728.982966666667,43.0694605447937,786.373266666667,49.5296877945933,786.271633333333,49.5615588936059,409.415366666667,35.142921067219,376.856133333333,24.3960097454246,465.287766666667,20.5205232619365,3.4669,0.132109763663298,475.963066666667,180.529466489628,0,0,850.7483,201.876095185952,0,0,1105.97293333333,262.43890432132,8.9,2.05694785611075,95.4900666666667,2.1320890829117,0,0,75.5161333333333,38.9078269758362,0.305033333333333,0.0778555175257053,"tpr_current"
"10-24","Fallow",45.912,4.00317339636685,13.2824333333333,12.3258041849507,13.2824333333333,12.3258041849507,13.2824333333333,12.3258041849507,0,0,4.8415,18.492657679515,0.4669,1.67951867797151,0.514533333333333,1.80332655702298,0,0,0,0,0,0,0,0,0,0,NA,NA,75.5771,38.9275769818687,54.2259,7.63529514525617,0.262266666666667,0.0152630573457689,"tpr_current"
"11-03","Wheat",391.672533333333,28.4708583591318,265.2554,22.9818185628373,265.2554,22.9818185628373,10.9387333333333,4.5519294274674,254.3166,22.6085941114558,8.34353333333333,14.8943835647775,7e-04,0.000466091599699399,54.8559,36.0435064880648,0,0,173.979966666667,44.8425932872196,0,0,226.174,58.2953296733464,2.33333333333333,0.606478434863123,74.6094666666667,0.837213388253714,21.6773333333333,3.05261146915378,28.7740666666667,18.5624127202097,0.177866666666667,0.0155734817344527,"tpr_current"
"07-01","Rice",595.410633333333,36.061211538432,638.494033333333,40.0502939138411,636.521,38.68508407375,306.888733333333,25.4263702603437,329.632433333333,21.2407091278522,224.475366666667,73.4206654364885,1.9293,0.55773458957984,438.2111,167.554802937643,0,0,467.713,122.457028182022,0,0,608.027,159.194340622419,9.66666666666667,3.36650164612069,50.5736333333333,7.99324569821008,0,0,45.2067666666667,19.9906298475636,0.244366666666667,0.0400521068655298,"tpr_best"
"10-29","Fallow",43.4874,3.87273882948222,2.3529,8.0082278609199,2.3529,8.0082278609199,2.3529,8.0082278609199,0,0,0.173833333333333,0.721602244211155,0.0263666666666667,0.0677706493958869,0.399433333333333,1.36650196975099,0,0,0,0,0,0,0,0,0,0,NA,NA,45.2441333333333,20.0259408246565,42.0216333333333,10.2204296099843,0.237933333333333,0.0204954718856652,"tpr_best"
"11-08","Wheat",396.043,29.3103383290865,271.0098,26.5785536403656,271.0098,26.5785536403656,13.3984666666667,6.95014120289868,257.6113,25.2318554857094,10.1726333333333,13.8338579815619,0.000233333333333333,0.000430183067152076,58.3265333333333,37.61477220797,0,0,175.607833333333,50.1538472468555,0,0,228.290233333333,65.1999294148567,2.5,0.820008410385801,71.4577333333333,6.86214667796347,16.8106666666667,4.09909437713304,23.3803333333333,21.2176114443238,0.173333333333333,0.0177012240631357,"tpr_best"
